"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 16 22:20:02 GMT 2025","Sun Mar 16 22:20:04 GMT 2025","2974","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testUpdateAuthor","testUpdateAuthor()",""
"passed","Sun Mar 16 22:20:11 GMT 2025","Sun Mar 16 22:20:12 GMT 2025","637","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testDeleteBook","testDeleteBook()",""
"passed","Sun Mar 16 22:20:09 GMT 2025","Sun Mar 16 22:20:10 GMT 2025","650","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testUpdateBook","testUpdateBook()",""
"passed","Sun Mar 16 22:20:06 GMT 2025","Sun Mar 16 22:20:07 GMT 2025","662","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testGetAuthorById","testGetAuthorById()",""
"passed","Sun Mar 16 22:20:05 GMT 2025","Sun Mar 16 22:20:06 GMT 2025","651","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testDeleteAuthor","testDeleteAuthor()",""
"passed","Sun Mar 16 22:20:04 GMT 2025","Sun Mar 16 22:20:05 GMT 2025","834","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testGetAuthors","testGetAuthors()",""
"passed","Sun Mar 16 22:20:07 GMT 2025","Sun Mar 16 22:20:09 GMT 2025","1615","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testGetBooks","testGetBooks()",""
"passed","Sun Mar 16 22:20:07 GMT 2025","Sun Mar 16 22:20:07 GMT 2025","630","","org.example.api.api.tests.AuthorApiTests","","org.example.api.api.tests.AuthorApiTests","testCreateAuthor","testCreateAuthor()",""
"passed","Sun Mar 16 22:20:10 GMT 2025","Sun Mar 16 22:20:10 GMT 2025","748","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testGetBookById","testGetBookById()",""
"passed","Sun Mar 16 22:20:10 GMT 2025","Sun Mar 16 22:20:11 GMT 2025","629","","org.example.api.api.tests.BookApiTests","","org.example.api.api.tests.BookApiTests","testCreateBook","testCreateBook()",""
